Date : 2024-03-26 00:17:54
Directory : /Users/morikazu/Downloads/StudyHub_student/lib/application
Total : 125 files,  2438 codes, 173 comments, 604 blanks, all 3215 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        125 |      2,438 |        173 |        604 |      3,215 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        125 |      2,438 |        173 |        604 |      3,215 |
| answer                                                                                                                                          |          5 |         65 |          0 |         17 |         82 |
| answer/application_service                                                                                                                      |          3 |         49 |          0 |         10 |         59 |
| answer/exception                                                                                                                                |          2 |         16 |          0 |          7 |         23 |
| blockings                                                                                                                                       |          7 |         94 |          0 |         32 |        126 |
| blockings/application_service                                                                                                                   |          5 |         78 |          0 |         25 |        103 |
| blockings/exception                                                                                                                             |          2 |         16 |          0 |          7 |         23 |
| bookmarks                                                                                                                                       |          6 |         82 |          0 |         28 |        110 |
| bookmarks/application_service                                                                                                                   |          4 |         66 |          0 |         21 |         87 |
| bookmarks/exception                                                                                                                             |          2 |         16 |          0 |          7 |         23 |
| di                                                                                                                                              |         42 |        871 |        152 |        225 |      1,248 |
| di/answer                                                                                                                                       |          4 |         80 |         14 |         20 |        114 |
| di/answer/query_service                                                                                                                         |          2 |         48 |          7 |         10 |         65 |
| di/answer/repository                                                                                                                            |          2 |         32 |          7 |         10 |         49 |
| di/bookmarks                                                                                                                                    |          4 |         85 |         14 |         20 |        119 |
| di/bookmarks/query_service                                                                                                                      |          2 |         51 |          7 |         10 |         68 |
| di/bookmarks/repository                                                                                                                         |          2 |         34 |          7 |         10 |         51 |
| di/favorite_teacher                                                                                                                             |          4 |         77 |         14 |         20 |        111 |
| di/favorite_teacher/query_service                                                                                                               |          2 |         43 |          7 |         10 |         60 |
| di/favorite_teacher/repository                                                                                                                  |          2 |         34 |          7 |         10 |         51 |
| di/photo                                                                                                                                        |          2 |         31 |          7 |         10 |         48 |
| di/question                                                                                                                                     |          6 |        113 |         21 |         30 |        164 |
| di/question/factory                                                                                                                             |          2 |         34 |          7 |         10 |         51 |
| di/question/query_service                                                                                                                       |          2 |         47 |          7 |         10 |         64 |
| di/question/repository                                                                                                                          |          2 |         32 |          7 |         10 |         49 |
| di/question_detail                                                                                                                              |          2 |         37 |          7 |         10 |         54 |
| di/school                                                                                                                                       |          2 |         32 |          7 |         10 |         49 |
| di/session                                                                                                                                      |          2 |         81 |         10 |         19 |        110 |
| di/student                                                                                                                                      |          4 |         64 |         14 |         20 |         98 |
| di/student_auth                                                                                                                                 |          2 |         84 |          9 |         16 |        109 |
| di/teacher                                                                                                                                      |          8 |        153 |         28 |         40 |        221 |
| di/teacher_evaluation                                                                                                                           |          2 |         34 |          7 |         10 |         51 |
| favorite_teachers                                                                                                                               |          7 |        103 |          0 |         33 |        136 |
| favorite_teachers/application_service                                                                                                           |          5 |         87 |          0 |         26 |        113 |
| favorite_teachers/exception                                                                                                                     |          2 |         16 |          0 |          7 |         23 |
| question                                                                                                                                        |         16 |        410 |          3 |         89 |        502 |
| question/application_service                                                                                                                    |         14 |        390 |          3 |         82 |        475 |
| question/application_service (Files)                                                                                                            |         13 |        328 |          3 |         66 |        397 |
| question/application_service/utils                                                                                                              |          1 |         62 |          0 |         16 |         78 |
| question/exception                                                                                                                              |          2 |         20 |          0 |          7 |         27 |
| report                                                                                                                                          |          2 |         44 |          0 |         10 |         54 |
| report/application_service                                                                                                                      |          2 |         44 |          0 |         10 |         54 |
| shared                                                                                                                                          |          7 |         76 |          0 |         20 |         96 |
| shared/application_service                                                                                                                      |          1 |         28 |          0 |          4 |         32 |
| shared/exception                                                                                                                                |          2 |         17 |          0 |          6 |         23 |
| shared/flavor                                                                                                                                   |          2 |         19 |          0 |          4 |         23 |
| shared/session                                                                                                                                  |          2 |         12 |          0 |          6 |         18 |
| student                                                                                                                                         |         12 |        386 |          8 |         73 |        467 |
| student/application_service                                                                                                                     |         10 |        365 |          8 |         66 |        439 |
| student/application_service (Files)                                                                                                             |          9 |        322 |          8 |         55 |        385 |
| student/application_service/utils                                                                                                               |          1 |         43 |          0 |         11 |         54 |
| student/exception                                                                                                                               |          2 |         21 |          0 |          7 |         28 |
| student_auth                                                                                                                                    |          8 |         98 |         10 |         29 |        137 |
| student_auth/application_service                                                                                                                |          6 |         80 |          0 |         21 |        101 |
| student_auth/exception                                                                                                                          |          2 |         18 |         10 |          8 |         36 |
| teacher                                                                                                                                         |          8 |        110 |          0 |         22 |        132 |
| teacher/application_service                                                                                                                     |          8 |        110 |          0 |         22 |        132 |
| teacher_evaluation                                                                                                                              |          5 |         99 |          0 |         26 |        125 |
| teacher_evaluation/application_service                                                                                                          |          3 |         83 |          0 |         19 |        102 |
| teacher_evaluation/exception                                                                                                                    |          2 |         16 |          0 |          7 |         23 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/application_service/answer_dto.dart                                           | Dart     |         33 |          0 |          4 |         37 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/application_service/get_answer_use_case.dart                                  | Dart     |         11 |          0 |          4 |         15 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/application_service/i_get_answer_query_service.dart                           | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/exception/answer_use_case_exception.dart                                      | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/exception/answer_use_case_exception_detail.dart                               | Dart     |          8 |          0 |          5 |         13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/blockings_add_use_case.dart                            | Dart     |         20 |          0 |          8 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/blockings_delete_use_case.dart                         | Dart     |         24 |          0 |          7 |         31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/get_blocking_dto.dart                                  | Dart     |         12 |          0 |          4 |         16 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/get_blockings_use_case.dart                            | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/i_get_blockings_query_service.dart                     | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/exception/blockings_use_case_exception.dart                                | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/exception/blockings_use_case_exception_detail.dart                         | Dart     |          8 |          0 |          5 |         13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/bookmarks_add_use_case.dart                            | Dart     |         20 |          0 |          8 |         28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/bookmarks_delete_use_case.dart                         | Dart     |         24 |          0 |          7 |         31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/get_my_bookmarks_use_case.dart                         | Dart     |         17 |          0 |          4 |         21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/i_get_bookmarks_query_service.dart                     | Dart     |          5 |          0 |          2 |          7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/exception/bookmarks_use_case_exception.dart                                | Dart     |          8 |          0 |          2 |         10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/exception/bookmarks_use_case_exception_detail.dart                         | Dart     |          8 |          0 |          5 |         13 |
