Date : 2024-03-26 00:18:02
Directory : /Users/morikazu/Downloads/StudyHub_student/lib/application/di
Total : 83 files,  -1567 codes, -21 comments, -379 blanks, all -1967 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         83 |     -1,567 |        -21 |       -379 |     -1,967 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |         83 |     -1,567 |        -21 |       -379 |     -1,967 |
| ..                                                                                                                                         |         83 |     -1,567 |        -21 |       -379 |     -1,967 |
| ../answer                                                                                                                                  |          5 |        -65 |          0 |        -17 |        -82 |
| ../answer/application_service                                                                                                              |          3 |        -49 |          0 |        -10 |        -59 |
| ../answer/exception                                                                                                                        |          2 |        -16 |          0 |         -7 |        -23 |
| ../blockings                                                                                                                               |          7 |        -94 |          0 |        -32 |       -126 |
| ../blockings/application_service                                                                                                           |          5 |        -78 |          0 |        -25 |       -103 |
| ../blockings/exception                                                                                                                     |          2 |        -16 |          0 |         -7 |        -23 |
| ../bookmarks                                                                                                                               |          6 |        -82 |          0 |        -28 |       -110 |
| ../bookmarks/application_service                                                                                                           |          4 |        -66 |          0 |        -21 |        -87 |
| ../bookmarks/exception                                                                                                                     |          2 |        -16 |          0 |         -7 |        -23 |
| ../favorite_teachers                                                                                                                       |          7 |       -103 |          0 |        -33 |       -136 |
| ../favorite_teachers/application_service                                                                                                   |          5 |        -87 |          0 |        -26 |       -113 |
| ../favorite_teachers/exception                                                                                                             |          2 |        -16 |          0 |         -7 |        -23 |
| ../question                                                                                                                                |         16 |       -410 |         -3 |        -89 |       -502 |
| ../question/application_service                                                                                                            |         14 |       -390 |         -3 |        -82 |       -475 |
| ../question/application_service (Files)                                                                                                    |         13 |       -328 |         -3 |        -66 |       -397 |
| ../question/application_service/utils                                                                                                      |          1 |        -62 |          0 |        -16 |        -78 |
| ../question/exception                                                                                                                      |          2 |        -20 |          0 |         -7 |        -27 |
| ../report                                                                                                                                  |          2 |        -44 |          0 |        -10 |        -54 |
| ../report/application_service                                                                                                              |          2 |        -44 |          0 |        -10 |        -54 |
| ../shared                                                                                                                                  |          7 |        -76 |          0 |        -20 |        -96 |
| ../shared/application_service                                                                                                              |          1 |        -28 |          0 |         -4 |        -32 |
| ../shared/exception                                                                                                                        |          2 |        -17 |          0 |         -6 |        -23 |
| ../shared/flavor                                                                                                                           |          2 |        -19 |          0 |         -4 |        -23 |
| ../shared/session                                                                                                                          |          2 |        -12 |          0 |         -6 |        -18 |
| ../student                                                                                                                                 |         12 |       -386 |         -8 |        -73 |       -467 |
| ../student/application_service                                                                                                             |         10 |       -365 |         -8 |        -66 |       -439 |
| ../student/application_service (Files)                                                                                                     |          9 |       -322 |         -8 |        -55 |       -385 |
| ../student/application_service/utils                                                                                                       |          1 |        -43 |          0 |        -11 |        -54 |
| ../student/exception                                                                                                                       |          2 |        -21 |          0 |         -7 |        -28 |
| ../student_auth                                                                                                                            |          8 |        -98 |        -10 |        -29 |       -137 |
| ../student_auth/application_service                                                                                                        |          6 |        -80 |          0 |        -21 |       -101 |
| ../student_auth/exception                                                                                                                  |          2 |        -18 |        -10 |         -8 |        -36 |
| ../teacher                                                                                                                                 |          8 |       -110 |          0 |        -22 |       -132 |
| ../teacher/application_service                                                                                                             |          8 |       -110 |          0 |        -22 |       -132 |
| ../teacher_evaluation                                                                                                                      |          5 |        -99 |          0 |        -26 |       -125 |
| ../teacher_evaluation/application_service                                                                                                  |          3 |        -83 |          0 |        -19 |       -102 |
| ../teacher_evaluation/exception                                                                                                            |          2 |        -16 |          0 |         -7 |        -23 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                   | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/application_service/answer_dto.dart                                      | Dart     |        -33 |          0 |         -4 |        -37 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/application_service/get_answer_use_case.dart                             | Dart     |        -11 |          0 |         -4 |        -15 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/application_service/i_get_answer_query_service.dart                      | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/exception/answer_use_case_exception.dart                                 | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/answer/exception/answer_use_case_exception_detail.dart                          | Dart     |         -8 |          0 |         -5 |        -13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/blockings_add_use_case.dart                       | Dart     |        -20 |          0 |         -8 |        -28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/blockings_delete_use_case.dart                    | Dart     |        -24 |          0 |         -7 |        -31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/get_blocking_dto.dart                             | Dart     |        -12 |          0 |         -4 |        -16 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/get_blockings_use_case.dart                       | Dart     |        -17 |          0 |         -4 |        -21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/application_service/i_get_blockings_query_service.dart                | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/exception/blockings_use_case_exception.dart                           | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/blockings/exception/blockings_use_case_exception_detail.dart                    | Dart     |         -8 |          0 |         -5 |        -13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/bookmarks_add_use_case.dart                       | Dart     |        -20 |          0 |         -8 |        -28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/bookmarks_delete_use_case.dart                    | Dart     |        -24 |          0 |         -7 |        -31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/get_my_bookmarks_use_case.dart                    | Dart     |        -17 |          0 |         -4 |        -21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/application_service/i_get_bookmarks_query_service.dart                | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/exception/bookmarks_use_case_exception.dart                           | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/bookmarks/exception/bookmarks_use_case_exception_detail.dart                    | Dart     |         -8 |          0 |         -5 |        -13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/favorite_teachers_add_use_case.dart       | Dart     |        -21 |          0 |         -8 |        -29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/favorite_teachers_delete_use_case.dart    | Dart     |        -24 |          0 |         -7 |        -31 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/get_favorite_teacher_dto.dart             | Dart     |        -20 |          0 |         -4 |        -24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/get_favorite_teacher_use_case.dart        | Dart     |        -17 |          0 |         -5 |        -22 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/application_service/i_get_favorite_teacher_query_service.dart | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/exception/favorite_teachers_use_case_exception.dart           | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/favorite_teachers/exception/favorite_teachers_use_case_exception_detail.dart    | Dart     |         -8 |          0 |         -5 |        -13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_my_questions_use_case.dart                     | Dart     |        -17 |          0 |         -3 |        -20 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_question_detail_use_case.dart                  | Dart     |        -35 |          0 |         -4 |        -39 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/get_recommended_questions_use_case.dart            | Dart     |        -21 |          0 |         -3 |        -24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_my_questions_query_service.dart              | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_question_detail_query_service.dart           | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_get_recommended_questions_query_service.dart     | Dart     |         -9 |          0 |         -2 |        -11 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/i_search_for_questions_query_service.dart          | Dart     |         -4 |          0 |         -2 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_create_use_case.dart                      | Dart     |        -59 |          0 |        -10 |        -69 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_delete_use_case.dart                      | Dart     |        -37 |          0 |         -9 |        -46 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_detail_dto.dart                           | Dart     |        -24 |          0 |         -4 |        -28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_edit_command.dart                         | Dart     |        -24 |          0 |         -4 |        -28 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/question_edit_use_case.dart                        | Dart     |        -76 |         -3 |        -17 |        -96 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/search_for_question_use_case.dart                  | Dart     |        -12 |          0 |         -4 |        -16 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/application_service/utils/photo_processing.dart                        | Dart     |        -62 |          0 |        -16 |        -78 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/exception/question_use_case_exception.dart                             | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/question/exception/question_use_case_exception_detail.dart                      | Dart     |        -12 |          0 |         -5 |        -17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/report_submit_command.dart                           | Dart     |        -17 |          0 |         -4 |        -21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/report/application_service/report_submit_use_case.dart                          | Dart     |        -27 |          0 |         -6 |        -33 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/application_service/question_card_dto.dart                               | Dart     |        -28 |          0 |         -4 |        -32 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/exception/use_case_exception.dart                                        | Dart     |        -13 |          0 |         -4 |        -17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/exception/use_case_exception_detail.dart                                 | Dart     |         -4 |          0 |         -2 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/flavor/flavor.dart                                                       | Dart     |         -5 |          0 |         -1 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/flavor/flavor_config.dart                                                | Dart     |        -14 |          0 |         -3 |        -17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/session/i_session_provider.dart                                          | Dart     |         -4 |          0 |         -2 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/shared/session/session.dart                                                     | Dart     |         -8 |          0 |         -4 |        -12 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_my_profile_dto.dart                             | Dart     |        -20 |          0 |         -4 |        -24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_my_profile_use_case.dart                        | Dart     |        -23 |          0 |         -4 |        -27 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_student_dto.dart                                | Dart     |        -52 |          0 |         -5 |        -57 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/get_student_use_case.dart                           | Dart     |        -22 |          0 |         -4 |        -26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/i_get_my_profile_query_service.dart                 | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/profile_update_command.dart                         | Dart     |        -30 |          0 |         -4 |        -34 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/profile_update_use_case.dart                        | Dart     |        -77 |          0 |        -16 |        -93 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/student_create_use_case.dart                        | Dart     |        -61 |         -7 |        -13 |        -81 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/student_delete_use_case.dart                        | Dart     |        -32 |         -1 |         -3 |        -36 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/application_service/utils/photo_processing.dart                         | Dart     |        -43 |          0 |        -11 |        -54 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/exception/student_use_case_exception.dart                               | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student/exception/student_use_case_exception_detail.dart                        | Dart     |        -13 |          0 |         -5 |        -18 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/i_get_student_auth_query_service.dart          | Dart     |         -4 |          0 |         -2 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/sign_in_use_case.dart                          | Dart     |        -17 |          0 |         -4 |        -21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/sign_out_use_case.dart                         | Dart     |        -10 |          0 |         -3 |        -13 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/student_auth_info_without_password.dart        | Dart     |        -17 |          0 |         -4 |        -21 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/update_student_auth_info_command.dart          | Dart     |        -11 |          0 |         -3 |        -14 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/application_service/update_student_auth_info_use_case.dart         | Dart     |        -21 |          0 |         -5 |        -26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/exception/student_auth_use_case_exception.dart                     | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/student_auth/exception/student_auth_use_case_exception_detail.dart              | Dart     |        -10 |        -10 |         -6 |        -26 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/get_popular_teachers_use_case.dart                  | Dart     |         -9 |          0 |         -3 |        -12 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/get_teacher_profile_dto.dart                        | Dart     |        -39 |          0 |         -3 |        -42 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/get_teacher_profile_use_case.dart                   | Dart     |        -15 |          0 |         -3 |        -18 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/i_get_popular_teachers_query_service.dart           | Dart     |         -4 |          0 |         -2 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/i_get_teacher_profile_query_service.dart            | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/i_search_for_teachers_query_service.dart            | Dart     |         -4 |          0 |         -2 |         -6 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/search_for_teachers_dto.dart                        | Dart     |        -20 |          0 |         -4 |        -24 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher/application_service/search_for_teachers_use_case.dart                   | Dart     |        -14 |          0 |         -3 |        -17 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/application_service/get_teacher_evaluation_dto.dart          | Dart     |        -25 |          0 |         -4 |        -29 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/application_service/get_teacher_evaluation_use_case.dart     | Dart     |        -26 |          0 |         -8 |        -34 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/application_service/teacher_evaluation_add_use_case.dart     | Dart     |        -32 |          0 |         -7 |        -39 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/exception/teacher_evaluation_use_case_exception.dart         | Dart     |         -8 |          0 |         -2 |        -10 |
| /Users/morikazu/Downloads/StudyHub_student/lib/application/teacher_evaluation/exception/teacher_evaluation_use_case_exception_detail.dart  | Dart     |         -8 |          0 |         -5 |        -13 |
| Total                                                                                                                                      |          |     -1,567 |        -21 |       -379 |     -1,967 |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
